"","1: upregulation, -1: downregulation","Symbol","wt-null","IR-mock","I:p53_wt-Treatment_IR","wt-null_for_IR","IR-mock_for_wt","p53_mock_1","p53_mock_2","p53_mock_3","p53_mock_4","p53_IR_1","p53_IR_2","p53_IR_3","p53_IR_4","null_mock_1","null_mock_2","null_IR_1","null_IR_2"
"1","ENSMUSG00000000037","Scml2",0,0,0,1,1,3.19603592009881,3.55392544435125,3.56267082665322,3.29580978174211,4.5918443576305,5.2491579484875,4.76459305691809,5.26241696606373,3.1132559784332,3.06656500350003,3.09685121527128,4.01836128730952
"2","ENSMUSG00000000088","Cox5a",0,1,-1,-1,0,9.88743893592719,9.75430361511425,9.96374437679765,9.85120762732064,9.69237845587073,9.50054903577051,10.5295461861603,10.4665861371461,9.60507202589837,9.75014741241641,11.3678352075894,10.8477439143431
"3","ENSMUSG00000000120","Ngfr",0,-1,1,1,0,7.5193367117894,7.74586299141748,7.62531581269711,8.45767803558843,8.05252370369774,8.14884334628552,7.43541249159767,7.40557138547708,7.89143269079516,7.54004993693029,5.95611597485905,6.12735772358145
"4","ENSMUSG00000000168","Dlat",0,1,0,0,0,9.6782922508463,9.57548368822317,9.67567808483561,9.61003670122695,9.58564003231955,9.64040740127625,10.3254345621197,10.1691639285105,9.74072522524877,9.77053779016266,11.1681129917025,10.5712598380639
"5","ENSMUSG00000000184","Ccnd2",0,1,-1,0,1,12.0093339286402,11.8059273884768,11.9469622327163,12.4128091117224,13.7835878755878,13.8196129363808,13.829155058138,13.7728134510721,11.7382799534109,11.8569461222672,14.8570747122464,14.2300961079909
"6","ENSMUSG00000000248","Clec2g",0,0,1,1,1,9.20967947091253,9.3628611553016,9.14657526877509,9.1805021254566,11.5422217671088,11.5383219654454,11.3513175525671,11.3544834155704,9.09714841202811,8.99949401496362,8.66136304490845,8.30581699895292
"7","ENSMUSG00000000263","Glra1",0,1,0,0,1,2,2.82737990178743,2,2.50157312065434,4.22888191236572,5.73221340954696,2.75003268090992,3.5411174561326,2.25566857649159,2.28556572104039,3.83287606771634,4.01836128730952
"8","ENSMUSG00000000301","Pemt",0,1,0,0,1,4.28489267733167,4.39493360235086,4.22149164331304,4.11305092083655,5.06615996102244,5.09807600134456,5.65433537557606,5.48384469037403,4.84888718578979,3.46001122458306,6.32740946880088,5.28493896539172
"9","ENSMUSG00000000308","Ckmt1",0,0,1,1,1,2.21584829953836,2,2,2,7.44546965764375,7.22480378993844,7.98612714508806,8.29795067004846,2,2,2,2.26713493452986
"10","ENSMUSG00000000317","Bcl6b",0,0,-1,-1,0,6.05784019503697,6.09339462938484,5.92281769846839,6.48616460849843,5.51002821459195,5.31915231927741,5.73041787844212,5.52432582929984,5.90303827172663,6.35621732215459,6.65541272040298,6.38782615869764
"11","ENSMUSG00000000365","Rnf17",0,1,-1,-1,0,6.2290130782028,5.25081880456402,4.97067094502326,5.40086560795049,5.46693747415011,5.31915231927741,5.30214384970784,5.67576582198312,5.80638134858339,5.7756312483763,6.76522137214113,7.0768116501888
